1,,Schedule,Schedule Management,,,A,1,2025-02-25 09:44:06.840831,,2025-02-25 09:44:06.840831,,
2,,Schedule,Schedule History,,,A,1,2025-02-25 09:45:32.412718,,2025-02-25 09:45:32.412718,,
3,,Schedule,PM Schedule,,,A,1,2025-02-25 09:46:01.015561,,2025-02-25 09:46:01.015561,,
4,,Report,Report Search,,,A,1,2025-02-25 09:46:47.908617,,2025-02-25 09:46:47.908617,,
5,,Report,Unapprove Report,,,A,1,2025-02-25 09:47:10.9924,,2025-02-25 09:47:10.9924,,
6,,Report,Report SPB,,,A,1,2025-02-25 09:47:38.045422,,2025-02-25 09:47:38.045422,,
7,,Report,Form,,,A,1,2025-02-25 09:48:09.41801,,2025-02-25 09:48:09.41801,,
8,,Asset,Asset List,,,A,,2025-02-25 09:49:08.716904,,2025-02-25 09:49:08.716904,,
9,,Asset,PM Outstanding,,,A,,2025-02-25 09:49:42.488505,,2025-02-25 09:49:42.488505,,
10,,Asset,Warranty/exp Status,,,A,,2025-02-25 09:50:08.547438,,2025-02-25 09:50:08.547438,,
11,,Asset,Temperature and Humidity Control,,,A,,2025-02-25 09:50:44.639638,,2025-02-25 09:50:44.639638,,
12,,Activity Report,Activity by Staff,,,A,,2025-02-25 09:51:22.565405,,2025-02-25 09:51:22.565405,,
13,,Activity Report,Activity Log,,,A,,2025-02-25 09:51:44.898577,,2025-02-25 09:51:44.898577,,
14,,Work Order Report,Work Category Profile,,,A,,2025-02-25 09:52:13.312973,,2025-02-25 09:52:13.312973,,
15,,Work Order Report,Section WO Activity,,,A,,2025-02-25 09:52:40.577378,,2025-02-25 09:52:40.577378,,
16,,Project,Project List,,,A,,2025-02-25 09:53:39.832758,,2025-02-25 09:53:39.832758,,
17,,Project,Task Search,,,A,,2025-02-25 09:53:57.702478,,2025-02-25 09:53:57.702478,,
18,,Energy,Energy,,,A,,2025-02-25 09:54:15.08275,,2025-02-25 09:54:15.08275,,
19,,Management,Department,,,A,,2025-02-25 09:54:37.620502,,2025-02-25 09:54:37.620502,,
20,,Management,Employee,,,A,,2025-02-25 09:54:53.373119,,2025-02-25 09:54:53.373119,,
21,,Management,Employee Timetable,,,A,,2025-02-25 09:55:14.207928,,2025-02-25 09:55:14.207928,,
22,,Management,Work Category,,,A,,2025-02-25 09:55:30.717622,,2025-02-25 09:55:30.717622,,
23,,Management,Asset Category,,,A,,2025-02-25 09:55:49.366888,,2025-02-25 09:55:49.366888,,
24,,Management,Building & Floor,,,A,,2025-02-25 09:56:04.532723,,2025-02-25 09:56:04.532723,,
25,,Management2,Location,,,A,,2025-02-25 09:56:21.846898,,2025-02-25 11:14:11,,
